"quoteID","quoteText","subQuotationList","quoteByteSpans","speaker","addressees","quoteType","referringExpression","mentionTextsList","mentionSpansList","mentionEntitiesList"
"Q10","I'm not sore. Senlis is a good place and we can stay at the Grand Cerf
and take a hike in the woods and come home.","[""I'm not sore. Senlis is a good place and we can stay at the Grand Cerf\nand take a hike in the woods and come home.""]","[[7469, 7583]]","Jake Barnes","['Robert Cohn']","Implicit","nan","[['we']]","[[[7510, 7512]]]","[[['Jake Barnes', 'Robert Cohn']]]"
"Q11","Good, that will be fine.","['Good, that will be fine.']","[[7587, 7611]]","Robert Cohn","['Jake Barnes']","Implicit","nan","[[]]","[[]]","[[]]"
"Q12","Well, I'll see you to-morrow at the courts,","[""Well, I'll see you to-morrow at the courts,""]","[[7615, 7658]]","Jake Barnes","['Robert Cohn']","Anaphoric","I said","[['you']]","[[[7630, 7633]]]","[[['Robert Cohn']]]"
"Q13","Good-night, Jake,","['Good-night, Jake,']","[[7670, 7687]]","Robert Cohn","['Jake Barnes']","Anaphoric","he said","[['Jake']]","[[[7682, 7686]]]","[[['Jake Barnes']]]"
"Q14","You forgot to get your paper,","['You forgot to get your paper,']","[[7730, 7759]]","Jake Barnes","['Robert Cohn']","Anaphoric","I said","[['You', 'your']]","[[[7730, 7733], [7748, 7752]]]","[[['Robert Cohn'], ['Robert Cohn']]]"
"Q15","That's so.","[""That's so.""]","[[7771, 7781]]","Robert Cohn","['Jake Barnes']","Implicit","nan","[[]]","[[]]","[[]]"
"Q16","You are
not sore, are you, Jake?","['You are\nnot sore, are you, Jake?']","[[7835, 7867]]","Robert Cohn","['Jake Barnes']","Implicit","nan","[['You', 'you', 'Jake']]","[[[7835, 7838], [7857, 7860], [7862, 7866]]]","[[['Jake Barnes'], ['Jake Barnes'], ['Jake Barnes']]]"
"Q17","No, why should I be?","['No, why should I be?']","[[7909, 7929]]","Jake Barnes","['Robert Cohn']","Implicit","nan","[[]]","[[]]","[[]]"
"Q18","See you at tennis,","['See you at tennis,']","[[7933, 7951]]","Robert Cohn","['Jake Barnes']","Anaphoric","he said","[['you']]","[[[7937, 7940]]]","[[['Jake Barnes']]]"
"Q19","Hello, Robert, Did you come in to cheer me up?","['Hello, Robert,', 'Did you come in to cheer me up?']","[[10627, 10641], [10652, 10683]]","Jake Barnes","['Robert Cohn']","Anaphoric","I said","[['Robert'], ['you']]","[[[10634, 10640]], [[10656, 10659]]]","[[['Robert Cohn']], [['Robert Cohn']]]"
"Q20","Would you like to go to South America, Jake?","['Would you like to go to South America, Jake?']","[[10687, 10731]]","Robert Cohn","['Jake Barnes']","Anaphoric","he asked","[['you', 'Jake']]","[[[10693, 10696], [10726, 10730]]]","[[['Jake Barnes'], ['Jake Barnes']]]"
"Q21","No.","['No.']","[[10745, 10748]]","Jake Barnes","['Robert Cohn']","Implicit","nan","[[]]","[[]]","[[]]"
"Q22","Why not?","['Why not?']","[[10752, 10760]]","Robert Cohn","['Jake Barnes']","Implicit","nan","[[]]","[[]]","[[]]"
"Q23","I don't know. I never wanted to go. Too expensive. You can see all the
South Americans you want in Paris anyway.","[""I don't know. I never wanted to go. Too expensive. You can see all the\nSouth Americans you want in Paris anyway.""]","[[10764, 10876]]","Jake Barnes","['Robert Cohn']","Implicit","nan","[['You', 'you']]","[[[10815, 10818], [10851, 10854]]]","[[['Robert Cohn'], ['Robert Cohn']]]"
"Q24","They're not the real South Americans.","[""They're not the real South Americans.""]","[[10880, 10917]]","Robert Cohn","['Jake Barnes']","Implicit","nan","[[]]","[[]]","[[]]"
"Q25","They look awfully real to me.","['They look awfully real to me.']","[[10921, 10950]]","Jake Barnes","['Robert Cohn']","Implicit","nan","[[]]","[[]]","[[]]"
"Q26","Do you know any dirt?","['Do you know any dirt?']","[[11042, 11063]]","Jake Barnes","['Robert Cohn']","Anaphoric","I asked","[['you']]","[[[11045, 11048]]]","[[['Robert Cohn']]]"
"Q27","No.","['No.']","[[11076, 11079]]","Robert Cohn","['Jake Barnes']","Implicit","nan","[[]]","[[]]","[[]]"
"Q28","None of your exalted connections getting divorces?","['None of your exalted connections getting divorces?']","[[11083, 11133]]","Jake Barnes","['Robert Cohn']","Implicit","nan","[['your']]","[[[11091, 11095]]]","[[['Robert Cohn']]]"
"Q29","No; listen, Jake. If I handled both our expenses, would you go to South
America with me?","['No; listen, Jake. If I handled both our expenses, would you go to South\nAmerica with me?']","[[11137, 11225]]","Robert Cohn","['Jake Barnes']","Implicit","nan","[['Jake', 'you']]","[[[11149, 11153], [11193, 11196]]]","[[['Jake Barnes'], ['Jake Barnes']]]"
"Q30","Why me?","['Why me?']","[[11229, 11236]]","Jake Barnes","['Robert Cohn']","Implicit","nan","[[]]","[[]]","[[]]"
"Q31","You can talk Spanish. And it would be more fun with two of us.","['You can talk Spanish. And it would be more fun with two of us.']","[[11240, 11302]]","Robert Cohn","['Jake Barnes']","Implicit","nan","[['You', 'us']]","[[[11240, 11243], [11299, 11301]]]","[[['Jake Barnes'], ['Jake Barnes', 'Robert Cohn']]]"
"Q32","No, I like this town and I go to Spain in the summer-time.","['No,', 'I like this town and I go to Spain in the summer-time.']","[[11306, 11309], [11320, 11374]]","Jake Barnes","['Robert Cohn']","Anaphoric","I said","[[], []]","[[], []]","[[], []]"
"Q33","All my life I've wanted to go on a trip like that, I'll be too old before I can ever do it.","[""All my life I've wanted to go on a trip like that,"", ""I'll be too old before I can ever do it.""]","[[11378, 11428], [11455, 11495]]","Robert Cohn","['Jake Barnes']","Explicit","Cohn said","[[], []]","[[], []]","[[], []]"
"Q34","Don't be a fool, You can go anywhere you want. You've got
plenty of money.","[""Don't be a fool,"", ""You can go anywhere you want. You've got\nplenty of money.""]","[[11499, 11515], [11526, 11583]]","Jake Barnes","['Robert Cohn']","Anaphoric","I said","[[], ['You', 'you', 'You']]","[[], [[11526, 11529], [11546, 11549], [11556, 11559]]]","[[], [['Robert Cohn'], ['Robert Cohn'], ['Robert Cohn']]]"
"Q35","I know. But I can't get started.","[""I know. But I can't get started.""]","[[11587, 11619]]","Robert Cohn","['Jake Barnes']","Implicit","nan","[[]]","[[]]","[[]]"
"Q36","Cheer up, All countries look just like the moving pictures.","['Cheer up,', 'All countries look just like the moving pictures.']","[[11623, 11632], [11643, 11692]]","Jake Barnes","['Robert Cohn']","Anaphoric","I said","[[], []]","[[], []]","[[], []]"
"Q37","I can't stand it to think my life is going so fast and I'm not really
living it.","[""I can't stand it to think my life is going so fast and I'm not really\nliving it.""]","[[11740, 11820]]","Robert Cohn","['Jake Barnes']","Implicit","nan","[[]]","[[]]","[[]]"
"Q38","Nobody ever lives their life all the way up except bull-fighters.","['Nobody ever lives their life all the way up except bull-fighters.']","[[11824, 11889]]","Jake Barnes","['Robert Cohn']","Implicit","nan","[[]]","[[]]","[[]]"
"Q39","I'm not interested in bull-fighters. That's an abnormal life. I want to
go back in the country in South America. We could have a great trip.","[""I'm not interested in bull-fighters. That's an abnormal life. I want to\ngo back in the country in South America. We could have a great trip.""]","[[11893, 12033]]","Robert Cohn","['Jake Barnes']","Implicit","nan","[['We']]","[[[12006, 12008]]]","[[['Jake Barnes', 'Robert Cohn']]]"
"Q40","Did you ever think about going to British East Africa to shoot?","['Did you ever think about going to British East Africa to shoot?']","[[12037, 12100]]","Jake Barnes","['Robert Cohn']","Implicit","nan","[['you']]","[[[12041, 12044]]]","[[['Robert Cohn']]]"
"Q41","No, I wouldn't like that.","[""No, I wouldn't like that.""]","[[12104, 12129]]","Robert Cohn","['Jake Barnes']","Implicit","nan","[[]]","[[]]","[[]]"
"Q42","I'd go there with you.","[""I'd go there with you.""]","[[12133, 12155]]","Jake Barnes","['Robert Cohn']","Implicit","nan","[['you']]","[[[12151, 12154]]]","[[['Robert Cohn']]]"
"Q43","No; that doesn't interest me.","[""No; that doesn't interest me.""]","[[12159, 12188]]","Robert Cohn","['Jake Barnes']","Implicit","nan","[[]]","[[]]","[[]]"
"Q44","That's because you never read a book about it. Go on and read a book
all full of love affairs with the beautiful shiny black princesses.","[""That's because you never read a book about it. Go on and read a book\nall full of love affairs with the beautiful shiny black princesses.""]","[[12192, 12328]]","Jake Barnes","['Robert Cohn']","Implicit","nan","[['you']]","[[[12207, 12210]]]","[[['Robert Cohn']]]"
"Q45","I want to go to South America.","['I want to go to South America.']","[[12332, 12362]]","Robert Cohn","['Jake Barnes']","Implicit","nan","[[]]","[[]]","[[]]"
"Q46","Come on down-stairs and have a drink.","['Come on down-stairs and have a drink.']","[[12407, 12444]]","Jake Barnes","['Robert Cohn']","Implicit","nan","[[]]","[[]]","[[]]"
"Q47","Aren't you working?","[""Aren't you working?""]","[[12448, 12467]]","Robert Cohn","['Jake Barnes']","Implicit","nan","[['you']]","[[[12455, 12458]]]","[[['Jake Barnes']]]"
"Q48","No,","['No,']","[[12471, 12474]]","Jake Barnes","['Robert Cohn']","Anaphoric","I said","[[]]","[[]]","[[]]"
"Q49","This is a good place,","['This is a good place,']","[[13015, 13036]]","Robert Cohn","['Jake Barnes']","Anaphoric","he said","[[]]","[[]]","[[]]"
"Q50","There's a lot of liquor,","[""There's a lot of liquor,""]","[[13049, 13073]]","Jake Barnes","['Robert Cohn']","Anaphoric","I agreed","[[]]","[[]]","[[]]"
"Q51","Listen, Jake, Don't you ever get the
feeling that all your life is going by and you're not taking advantage
of it? Do you realize you've lived nearly half the time you have to live
already?","['Listen, Jake,', ""Don't you ever get the\nfeeling that all your life is going by and you're not taking advantage\nof it? Do you realize you've lived nearly half the time you have to live\nalready?""]","[[13087, 13100], [13133, 13308]]","Robert Cohn","['Jake Barnes']","Anaphoric","he leaned","[['Jake'], ['you', 'your', 'you', 'you', 'you', 'you']]","[[[13095, 13099]], [[13139, 13142], [13173, 13177], [13199, 13202], [13237, 13240], [13249, 13252], [13283, 13286]]]","[[['Jake Barnes']], [['Jake Barnes'], ['Jake Barnes'], ['Jake Barnes'], ['Jake Barnes'], ['Jake Barnes'], ['Jake Barnes']]]"
"Q52","Yes, every once in a while.","['Yes, every once in a while.']","[[13312, 13339]]","Jake Barnes","['Robert Cohn']","Implicit","nan","[[]]","[[]]","[[]]"
"Q53","Do you know that in about thirty-five years more we'll be dead?","[""Do you know that in about thirty-five years more we'll be dead?""]","[[13343, 13406]]","Robert Cohn","['Jake Barnes']","Implicit","nan","[['you', 'we']]","[[[13346, 13349], [13392, 13394]]]","[[['Jake Barnes'], ['Jake Barnes', 'Robert Cohn']]]"
"Q54","What the hell, Robert, What the hell.","['What the hell, Robert,', 'What the hell.']","[[13410, 13432], [13443, 13457]]","Jake Barnes","['Robert Cohn']","Anaphoric","I said","[['Robert'], []]","[[[13425, 13431]], []]","[[['Robert Cohn']], []]"
"Q55","I'm serious.","[""I'm serious.""]","[[13461, 13473]]","Robert Cohn","['Jake Barnes']","Implicit","nan","[[]]","[[]]","[[]]"
"Q56","It's one thing I don't worry about,","[""It's one thing I don't worry about,""]","[[13477, 13512]]","Jake Barnes","['Robert Cohn']","Anaphoric","I said","[[]]","[[]]","[[]]"
"Q57","You ought to.","['You ought to.']","[[13524, 13537]]","Robert Cohn","['Jake Barnes']","Implicit","nan","[['You']]","[[[13524, 13527]]]","[[['Jake Barnes']]]"
"Q58","I've had plenty to worry about one time or other. I'm through
worrying.","[""I've had plenty to worry about one time or other. I'm through\nworrying.""]","[[13541, 13612]]","Jake Barnes","['Robert Cohn']","Implicit","nan","[[]]","[[]]","[[]]"
"Q59","Well, I want to go to South America.","['Well, I want to go to South America.']","[[13616, 13652]]","Robert Cohn","['Jake Barnes']","Implicit","nan","[[]]","[[]]","[[]]"
"Q60","Listen, Robert, going to another country doesn't make any difference.
I've tried all that. You can't get away from yourself by moving from one
place to another. There's nothing to that.","[""Listen, Robert, going to another country doesn't make any difference.\nI've tried all that. You can't get away from yourself by moving from one\nplace to another. There's nothing to that.""]","[[13656, 13841]]","Jake Barnes","['Robert Cohn']","Implicit","nan","[['Robert', 'You']]","[[[13664, 13670], [13747, 13750]]]","[[['Robert Cohn'], ['Robert Cohn']]]"
"Q61","But you've never been to South America.","[""But you've never been to South America.""]","[[13845, 13884]]","Robert Cohn","['Jake Barnes']","Implicit","nan","[['you']]","[[[13849, 13852]]]","[[['Jake Barnes']]]"
"Q62","South America hell! If you went there the way you feel now it would be
exactly the same. This is a good town. Why don't you start living your
life in Paris?","[""South America hell! If you went there the way you feel now it would be\nexactly the same. This is a good town. Why don't you start living your\nlife in Paris?""]","[[13888, 14044]]","Jake Barnes","['Robert Cohn']","Implicit","nan","[['you', 'you', 'you', 'your']]","[[[13911, 13914], [13934, 13937], [14008, 14011], [14025, 14029]]]","[[['Robert Cohn'], ['Robert Cohn'], ['Robert Cohn'], ['Robert Cohn']]]"
"Q63","I'm sick of Paris, and I'm sick of the Quarter.","[""I'm sick of Paris, and I'm sick of the Quarter.""]","[[14048, 14095]]","Robert Cohn","['Jake Barnes']","Implicit","nan","[[]]","[[]]","[[]]"
"Q64","Stay away from the Quarter. Cruise around by yourself and see what
happens to you.","['Stay away from the Quarter. Cruise around by yourself and see what\nhappens to you.']","[[14099, 14181]]","Jake Barnes","['Robert Cohn']","Implicit","nan","[['you']]","[[[14177, 14180]]]","[[['Robert Cohn']]]"
"Q65","Nothing happens to me. I walked alone all one night and nothing
happened except a bicycle cop stopped me and asked to see my papers.","['Nothing happens to me. I walked alone all one night and nothing\nhappened except a bicycle cop stopped me and asked to see my papers.']","[[14185, 14317]]","Robert Cohn","['Jake Barnes']","Implicit","nan","[[]]","[[]]","[[]]"
"Q66","Wasn't the town nice at night?","[""Wasn't the town nice at night?""]","[[14321, 14351]]","Jake Barnes","['Robert Cohn']","Implicit","nan","[[]]","[[]]","[[]]"
"Q67","I don't care for Paris.","[""I don't care for Paris.""]","[[14355, 14378]]","Robert Cohn","['Jake Barnes']","Implicit","nan","[[]]","[[]]","[[]]"
"Q68","Well, I've got to go up-stairs and get off some cables.","['Well,', ""I've got to go up-stairs and get off some cables.""]","[[14677, 14682], [14693, 14742]]","Jake Barnes","['Robert Cohn']","Anaphoric","I said","[[], []]","[[], []]","[[], []]"
"Q69","Do you really have to go?","['Do you really have to go?']","[[14746, 14771]]","Robert Cohn","['Jake Barnes']","Implicit","nan","[['you']]","[[[14749, 14752]]]","[[['Jake Barnes']]]"
"Q70","Yes, I've got to get these cables off.","[""Yes, I've got to get these cables off.""]","[[14775, 14813]]","Jake Barnes","['Robert Cohn']","Implicit","nan","[[]]","[[]]","[[]]"
"Q71","Do you mind if I come up and sit around the office?","['Do you mind if I come up and sit around the office?']","[[14817, 14868]]","Robert Cohn","['Jake Barnes']","Implicit","nan","[['you']]","[[[14820, 14823]]]","[[['Jake Barnes']]]"
"Q72","No, come on up.","['No, come on up.']","[[14872, 14887]]","Jake Barnes","['Robert Cohn']","Implicit","nan","[[]]","[[]]","[[]]"
"Q73","I can't do it, I can't do it. Nothing will make me do it.","[""I can't do it,"", ""I can't do it. Nothing will make me do it.""]","[[15409, 15423], [15474, 15516]]","Robert Cohn","[]","Anaphoric","he said","[[], []]","[[], []]","[[], []]"
"Q74","Robert,","['Robert,']","[[15520, 15527]]","Jake Barnes","['Robert Cohn']","Anaphoric","I said","[[]]","[[]]","[[]]"
"Q75","Did I talk out loud just then?","['Did I talk out loud just then?']","[[15607, 15637]]","Robert Cohn","['Jake Barnes']","Implicit","nan","[[]]","[[]]","[[]]"
"Q76","Something. But it wasn't clear.","[""Something. But it wasn't clear.""]","[[15641, 15672]]","Jake Barnes","['Robert Cohn']","Implicit","nan","[[]]","[[]]","[[]]"
"Q77","God, what a rotten dream!","['God, what a rotten dream!']","[[15676, 15701]]","Robert Cohn","['Jake Barnes']","Implicit","nan","[[]]","[[]]","[[]]"
"Q78","Did the typewriter put you to sleep?","['Did the typewriter put you to sleep?']","[[15705, 15741]]","Jake Barnes","['Robert Cohn']","Implicit","nan","[['you']]","[[[15728, 15731]]]","[[['Robert Cohn']]]"
"Q79","Guess so. I didn't sleep all last night.","[""Guess so. I didn't sleep all last night.""]","[[15745, 15785]]","Robert Cohn","['Jake Barnes']","Implicit","nan","[[]]","[[]]","[[]]"
"Q80","What was the matter?","['What was the matter?']","[[15789, 15809]]","Jake Barnes","['Robert Cohn']","Implicit","nan","[[]]","[[]]","[[]]"
"Q81","Talking,","['Talking,']","[[15813, 15821]]","Robert Cohn","['Jake Barnes']","Anaphoric","he said","[[]]","[[]]","[[]]"
"Q82","Well, what will you drink?","['Well, what will you drink?']","[[16783, 16809]]","Jake Barnes","['Georgette']","Anaphoric","I asked","[['you']]","[[[16799, 16802]]]","[[['Georgette']]]"
"Q83","Pernod.","['Pernod.']","[[16822, 16829]]","Georgette","['Jake Barnes']","Implicit","nan","[[]]","[[]]","[[]]"
"Q84","That's not good for little girls.","[""That's not good for little girls.""]","[[16833, 16866]]","Jake Barnes","['Georgette']","Implicit","nan","[[]]","[[]]","[[]]"
"Q85","Little girl yourself. Dites gar on, un pernod.","['Little girl yourself. Dites gar on, un pernod.']","[[16870, 16916]]","Georgette","['Jake Barnes']","Implicit","nan","[[]]","[[]]","[[]]"
"Q86","A pernod for me, too.","['A pernod for me, too.']","[[16920, 16941]]","Jake Barnes","['Georgette']","Implicit","nan","[[]]","[[]]","[[]]"
"Q87","What's the matter? Going on a party?","[""What's the matter?"", 'Going on a party?']","[[16945, 16963], [16977, 16994]]","Georgette","['Jake Barnes']","Anaphoric","she asked","[[], []]","[[], []]","[[], []]"
"Q88","Sure. Aren't you?","[""Sure. Aren't you?""]","[[16998, 17015]]","Jake Barnes","['Georgette']","Implicit","nan","[['you']]","[[[17011, 17014]]]","[[['Georgette']]]"
"Q89","I don't know. You never know in this town.","[""I don't know. You never know in this town.""]","[[17019, 17061]]","Georgette","['Jake Barnes']","Implicit","nan","[['You']]","[[[17033, 17036]]]","[[['Jake Barnes']]]"
"Q90","Don't you like Paris?","[""Don't you like Paris?""]","[[17065, 17086]]","Jake Barnes","['Georgette']","Implicit","nan","[['you']]","[[[17071, 17074]]]","[[['Georgette']]]"
"Q91","No.","['No.']","[[17090, 17093]]","Georgette","['Jake Barnes']","Implicit","nan","[[]]","[[]]","[[]]"
"Q92","Why don't you go somewhere else?","[""Why don't you go somewhere else?""]","[[17097, 17129]]","Jake Barnes","['Georgette']","Implicit","nan","[['you']]","[[[17107, 17110]]]","[[['Georgette']]]"
"Q93","Isn't anywhere else.","[""Isn't anywhere else.""]","[[17133, 17153]]","Georgette","['Jake Barnes']","Implicit","nan","[[]]","[[]]","[[]]"
"Q94","You're happy, all right.","[""You're happy, all right.""]","[[17157, 17181]]","Jake Barnes","['Georgette']","Implicit","nan","[['You']]","[[[17157, 17160]]]","[[['Georgette']]]"
"Q95","Happy, hell!","['Happy, hell!']","[[17185, 17197]]","Georgette","['Jake Barnes']","Implicit","nan","[[]]","[[]]","[[]]"
"Q96","Well, are you going to buy me a dinner?","['Well,', 'are you going to buy me a dinner?']","[[17405, 17410], [17421, 17454]]","Jake Barnes","['Georgette']","Anaphoric","I said","[[], ['you']]","[[], [[17425, 17428]]]","[[], [['Georgette']]]"
"Q97","What are all the clocks for?","['What are all the clocks for?']","[[17958, 17986]]","Georgette","['Jake Barnes']","Anaphoric","she asked","[[]]","[[]]","[[]]"
"Q98","They show the hour all over America.","['They show the hour all over America.']","[[18001, 18037]]","Jake Barnes","['Georgette']","Implicit","nan","[[]]","[[]]","[[]]"
"Q99","Don't kid me.","[""Don't kid me.""]","[[18041, 18054]]","Georgette","['Jake Barnes']","Implicit","nan","[[]]","[[]]","[[]]"
"Q100","Never mind.","['Never mind.']","[[18330, 18341]]","Jake Barnes","['Georgette']","Implicit","nan","[[]]","[[]]","[[]]"
"Q101","What's the matter? You sick?","[""What's the matter? You sick?""]","[[18345, 18373]]","Georgette","['Jake Barnes']","Implicit","nan","[['You']]","[[[18364, 18367]]]","[[['Jake Barnes']]]"
"Q102","Yes.","['Yes.']","[[18377, 18381]]","Jake Barnes","['Georgette']","Implicit","nan","[[]]","[[]]","[[]]"
"Q103","Everybody's sick. I'm sick, too.","[""Everybody's sick. I'm sick, too.""]","[[18385, 18417]]","Georgette","['Jake Barnes']","Implicit","nan","[[]]","[[]]","[[]]"
"Q104","You oughtn't to drink pernod if you're sick.","[""You oughtn't to drink pernod if you're sick.""]","[[18533, 18577]]","Georgette","['Jake Barnes']","Implicit","nan","[['You', 'you']]","[[[18533, 18536], [18565, 18568]]]","[[['Jake Barnes'], ['Jake Barnes']]]"
"Q105","You neither.","['You neither.']","[[18581, 18593]]","Jake Barnes","['Georgette']","Implicit","nan","[['You']]","[[[18581, 18584]]]","[[['Georgette']]]"
"Q106","It doesn't make any difference with me. It doesn't make any difference
with a woman.","[""It doesn't make any difference with me. It doesn't make any difference\nwith a woman.""]","[[18597, 18681]]","Georgette","['Jake Barnes']","Implicit","nan","[[]]","[[]]","[[]]"
"Q107","What are you called?","['What are you called?']","[[18685, 18705]]","Jake Barnes","['Georgette']","Implicit","nan","[['you']]","[[[18694, 18697]]]","[[['Georgette']]]"
"Q108","Georgette. How are you called?","['Georgette. How are you called?']","[[18709, 18739]]","Georgette","['Jake Barnes']","Implicit","nan","[['you']]","[[[18728, 18731]]]","[[['Jake Barnes']]]"
"Q109","Jacob.","['Jacob.']","[[18743, 18749]]","Jake Barnes","['Georgette']","Implicit","nan","[[]]","[[]]","[[]]"
"Q110","That's a Flemish name.","[""That's a Flemish name.""]","[[18753, 18775]]","Georgette","['Jake Barnes']","Implicit","nan","[[]]","[[]]","[[]]"
"Q111","American too.","['American too.']","[[18779, 18792]]","Jake Barnes","['Georgette']","Implicit","nan","[[]]","[[]]","[[]]"
"Q112","You're not Flamand?","[""You're not Flamand?""]","[[18796, 18815]]","Georgette","['Jake Barnes']","Implicit","nan","[['You']]","[[[18796, 18799]]]","[[['Jake Barnes']]]"
"Q113","No, American.","['No, American.']","[[18819, 18832]]","Jake Barnes","['Georgette']","Implicit","nan","[[]]","[[]]","[[]]"
"Q114","Good, I detest Flamands.","['Good, I detest Flamands.']","[[18836, 18860]]","Georgette","['Jake Barnes']","Implicit","nan","[[]]","[[]]","[[]]"
"Q115","This is no great thing of a restaurant.","['This is no great thing of a restaurant.']","[[19000, 19039]]","Georgette","['Jake Barnes']","Implicit","nan","[[]]","[[]]","[[]]"
"Q116","No, Maybe you would rather go to Foyot's. Why don't you keep
the cab and go on?","['No,', ""Maybe you would rather go to Foyot's. Why don't you keep\nthe cab and go on?""]","[[19043, 19046], [19057, 19132]]","Jake Barnes","['Georgette']","Anaphoric","I said","[[], ['you', 'you']]","[[], [[19063, 19066], [19105, 19108]]]","[[], [['Georgette'], ['Georgette']]]"
"Q117","It isn't bad here, It isn't chic, but the food is all
right.","[""It isn't bad here,"", ""It isn't chic, but the food is all\nright.""]","[[19465, 19483], [19496, 19537]]","Georgette","['Jake Barnes']","Anaphoric","she said","[[], []]","[[], []]","[[], []]"
"Q118","Better than you eat in Li ge.","['Better than you eat in Li ge.']","[[19541, 19570]]","Jake Barnes","['Georgette']","Implicit","nan","[['you']]","[[[19553, 19556]]]","[[['Georgette']]]"
"Q119","Brussels, you mean.","['Brussels, you mean.']","[[19574, 19593]]","Georgette","['Jake Barnes']","Implicit","nan","[['you']]","[[[19584, 19587]]]","[[['Jake Barnes']]]"
"Q120","You're not a bad
type, It's a shame you're sick. We get on well. What's the
matter with you, anyway?","[""You're not a bad\ntype,"", ""It's a shame you're sick. We get on well. What's the\nmatter with you, anyway?""]","[[19719, 19741], [19754, 19831]]","Georgette","['Jake Barnes']","Anaphoric","she said","[['You'], ['you', 'We', 'you']]","[[[19719, 19722]], [[19767, 19770], [19780, 19782], [19819, 19822]]]","[[['Jake Barnes']], [['Jake Barnes'], ['Jake Barnes', 'Georgette'], ['Jake Barnes']]]"
"Q121","I got hurt in the war,","['I got hurt in the war,']","[[19835, 19857]]","Jake Barnes","['Georgette']","Anaphoric","I said","[[]]","[[]]","[[]]"
"Q122","Oh, that dirty war.","['Oh, that dirty war.']","[[19869, 19888]]","Georgette","['Jake Barnes']","Implicit","nan","[[]]","[[]]","[[]]"
"Q123","Barnes! I say, Barnes! Jacob Barnes!","['Barnes! I say, Barnes! Jacob Barnes!']","[[20119, 20155]]","Henry Braddocks","['Jake Barnes']","Anaphoric","some one called","[['Barnes', 'Barnes', 'Jacob Barnes']]","[[[20119, 20125], [20134, 20140], [20142, 20154]]]","[[['Jake Barnes'], ['Jake Barnes'], ['Jake Barnes']]]"
"Q124","It's a friend calling me,","[""It's a friend calling me,""]","[[20159, 20184]]","Jake Barnes","['Georgette']","Anaphoric","I explained","[[]]","[[]]","[[]]"
