"quoteID","quoteText","subQuotationList","quoteByteSpans","speaker","addressees","quoteType","referringExpression","mentionTextsList","mentionSpansList","mentionEntitiesList"
"Q10","No, I'll look first, and see whether it's marked '_poison_' or not","[""No, I'll look first,"", ""and see whether it's marked '_poison_' or not""]","[[7684, 7704], [7717, 7762]]","Alice","[]","Anaphoric","she said","[[], []]","[[], []]","[[], []]"
"Q11","What a curious feeling! I must be shutting up like a
telescope.","['What a curious feeling!', 'I must be shutting up like a\ntelescope.']","[[8678, 8701], [8716, 8755]]","Alice","[]","Explicit","said Alice","[[], []]","[[], []]","[[], []]"
"Q12","for it might end, you know, in my going out altogether, like a candle. I
wonder what I should be like then? Come, there's no use in crying like that! I advise you to leave off this minute!","['for it might end, you know,', 'in my going out altogether, like a candle. I\nwonder what I should be like then?', ""Come, there's no use in crying like that!"", 'I advise you to leave off this minute!']","[[9078, 9105], [9131, 9210], [9879, 9920], [9962, 10000]]","Alice","['Alice']","Explicit","said Alice to herself","[[], [], [], ['you']]","[[], [], [], [[9971, 9974]]]","[[], [], [], [['Alice']]]"
"Q13","But it's no use now, to pretend to be two
people! Why, there's hardly enough of me left to make _one_ respectable
person!","[""But it's no use now,"", ""to pretend to be two\npeople! Why, there's hardly enough of me left to make _one_ respectable\nperson!""]","[[10366, 10386], [10409, 10509]]","Alice","[]","Explicit","thought poor Alice","[[], []]","[[], []]","[[], []]"
"Q14","Well, I'll eat it, and if it makes me grow larger, I can reach the key; and if it
makes me grow smaller, I can creep under the door; so either way I'll
get into the garden, and I don't care which happens!","[""Well, I'll eat it,"", ""and if it makes me grow larger, I can reach the key; and if it\nmakes me grow smaller, I can creep under the door; so either way I'll\nget into the garden, and I don't care which happens!""]","[[10700, 10718], [10733, 10918]]","Alice","[]","Explicit","said Alice","[[], []]","[[], []]","[[], []]"
"Q15","Which way? Which
way?","['Which way? Which\nway?']","[[10975, 10996]]","Alice","['Alice']","Anaphoric","She ate a little bit and said anxiously to herself","[[]]","[[]]","[[]]"
"Q16","Curiouser and curiouser! now I'm
opening out like the largest telescope that ever was! Good-bye, feet!","['Curiouser and curiouser!', ""now I'm\nopening out like the largest telescope that ever was! Good-bye, feet!""]","[[11595, 11619], [11727, 11804]]","Alice","[]","Explicit","cried Alice","[[], []]","[[], []]","[[], []]"
"Q17","Oh, my poor little feet, I
wonder who will put on your shoes and stockings for you now, dears? I'm
sure _I_ shan't be able! I shall be a great deal too far off to trouble
myself about you: you must manage the best way you can;--but I must be
kind to them, or perhaps they won't walk the way I
want to go! Let me see: I'll give them a new pair of boots every
Christmas.","[""Oh, my poor little feet, I\nwonder who will put on your shoes and stockings for you now, dears? I'm\nsure _I_ shan't be able! I shall be a great deal too far off to trouble\nmyself about you: you must manage the best way you can;--but I must be\nkind to them,"", ""or perhaps they won't walk the way I\nwant to go! Let me see: I'll give them a new pair of boots every\nChristmas.""]","[[11916, 12171], [12189, 12301]]","Alice","[]","Explicit","thought Alice","[[], []]","[[], []]","[[], []]"
"Q18","They must
go by the carrier, and how funny it'll seem, sending
presents to one's own feet! And how odd the directions will look!

     _Alice's Right Foot, Esq., Hearthrug, near the Fender,_ (_with
     Alice's love_).

Oh dear, what nonsense I'm talking!","['They must\ngo by the carrier,', ""and how funny it'll seem, sending\npresents to one's own feet! And how odd the directions will look!\n\n     _Alice's Right Foot, Esq., Hearthrug, near the Fender,_ (_with\n     Alice's love_).\n\nOh dear, what nonsense I'm talking!""]","[[12366, 12394], [12410, 12636]]","Alice","[]","Anaphoric","she thought","[[], ['Alice', 'Alice']]","[[], [[12517, 12522], [12584, 12589]]]","[[], [['Alice'], ['Alice']]]"
"Q19","You ought to be ashamed of yourself, a great girl like
you, to go on crying in this way! Stop
this moment, I tell you!","['You ought to be ashamed of yourself,', 'a great girl like\nyou,', 'to go on crying in this way! Stop\nthis moment, I tell you!']","[[13025, 13061], [13076, 13098], [13128, 13186]]","Alice","[]","Explicit","said Alice","[['You', 'yourself'], ['you'], ['you']]","[[[13025, 13028], [13052, 13060]], [[13094, 13097]], [[13182, 13185]]]","[[['Alice'], ['Alice']], [['Alice']], [['Alice']]]"
"Q20","Oh! the Duchess, the
Duchess! Oh! won't she be savage if I've kept her waiting!","[""Oh! the Duchess, the\nDuchess! Oh! won't she be savage if I've kept her waiting!""]","[[13672, 13751]]","The White Rabbit","['The White Rabbit']","Anaphoric","he came trotting along in a great hurry muttering to himself","[['the Duchess', 'the\nDuchess', 'she', 'her']]","[[[13676, 13687], [13689, 13700], [13712, 13715], [13739, 13742]]]","[[['The Duchess'], ['The Duchess'], ['The Duchess'], ['The Duchess']]]"
"Q21","If you please,
sir--","['If you please,\nsir--']","[[13890, 13910]]","Alice","['The White Rabbit']","Anaphoric","she began","[['you', 'sir']]","[[[13893, 13896], [13905, 13908]]]","[[['The White Rabbit'], ['The White Rabbit']]]"
"Q22","Dear, dear! How
queer everything is to-day! And yesterday things went on just as usual.
I wonder if I've been changed in the night? Let me think: was I the
same when I got up this morning? I almost think I can remember feeling
a little different. But if I'm not the same, the next question is, Who
in the world am I? Ah, _that's_ the great puzzle!","[""Dear, dear! How\nqueer everything is to-day! And yesterday things went on just as usual.\nI wonder if I've been changed in the night? Let me think: was I the\nsame when I got up this morning? I almost think I can remember feeling\na little different. But if I'm not the same, the next question is, Who\nin the world am I? Ah, _that's_ the great puzzle!""]","[[14170, 14517]]","Alice","[]","Anaphoric","she went on talking","[[]]","[[]]","[[]]"
"Q23","I'm sure I'm not Ada, for her hair goes in such long
ringlets, and mine doesn't go in ringlets at all; and I'm sure I can't
be Mabel, for I know all sorts of things, and she, oh! she knows such a
very little! Besides, _she's_ she, and _I'm_ I, and--oh dear, how
puzzling it all is! I'll try if I know all the things I used to know.
Let me see: four times five is twelve, and four times six is thirteen,
and four times seven is--oh dear! I shall never get to twenty at that
rate! However, the Multiplication Table doesn't signify: let's try
Geography. London is the capital of Paris, and Paris is the capital of
Rome, and Rome--no, _that's_ all wrong, I'm certain! I must have been
changed for Mabel! I'll try and say '_How doth the little_--'","[""I'm sure I'm not Ada,"", ""for her hair goes in such long\nringlets, and mine doesn't go in ringlets at all; and I'm sure I can't\nbe Mabel, for I know all sorts of things, and she, oh! she knows such a\nvery little! Besides, _she's_ she, and _I'm_ I, and--oh dear, how\npuzzling it all is! I'll try if I know all the things I used to know.\nLet me see: four times five is twelve, and four times six is thirteen,\nand four times seven is--oh dear! I shall never get to twenty at that\nrate! However, the Multiplication Table doesn't signify: let's try\nGeography. London is the capital of Paris, and Paris is the capital of\nRome, and Rome--no, _that's_ all wrong, I'm certain! I must have been\nchanged for Mabel! I'll try and say '_How doth the little_--'""]","[[14668, 14689], [14702, 15422]]","Alice","[]","Anaphoric","she said","[['Ada'], ['her', 'Mabel', 'she', 'she', 'she', 'she']]","[[[14685, 14688]], [[14706, 14709], [14807, 14812], [14850, 14853], [14859, 14862], [14899, 14902], [14906, 14909]]]","[[['Ada']], [['Ada'], ['Mabel'], ['Mabel'], ['Mabel'], ['Mabel'], ['Mabel']]]"
"Q24","I'm sure those are not the right words, I must be Mabel after all, and
I shall have to go and live in that poky little house, and have next to
no toys to play with, and oh! ever so many lessons to learn! No, I've
made up my mind about it; if I'm Mabel, I'll stay down here! It'll be
no use their putting their heads down and saying 'Come up again, dear!'
I shall only look up and say 'Who am I then? Tell me that first, and
then, if I like being that person, I'll come up: if not, I'll stay down
here till I'm somebody else'--but, oh dear! I do wish they _would_ put their heads down! I am so
_very_ tired of being all alone here!","[""I'm sure those are not the right words,"", ""I must be Mabel after all, and\nI shall have to go and live in that poky little house, and have next to\nno toys to play with, and oh! ever so many lessons to learn! No, I've\nmade up my mind about it; if I'm Mabel, I'll stay down here! It'll be\nno use their putting their heads down and saying 'Come up again, dear!'\nI shall only look up and say 'Who am I then? Tell me that first, and\nthen, if I like being that person, I'll come up: if not, I'll stay down\nhere till I'm somebody else'--but, oh dear!"", 'I do wish they _would_ put their heads down! I am so\n_very_ tired of being all alone here!']","[[15869, 15908], [15981, 16480], [16526, 16616]]","Alice","[]","Explicit","said poor Alice","[[], ['Mabel', 'Mabel'], []]","[[], [[15991, 15996], [16187, 16192]], []]","[[], [['Mabel'], ['Mabel']], []]"
"Q25","How _can_ I have done that? I must be
growing small again.","['How _can_ I have done that?', 'I must be\ngrowing small again.']","[[16779, 16806], [16822, 16852]]","Alice","[]","Anaphoric","she thought","[[], []]","[[], []]","[[], []]"
"Q26","That _was_ a narrow escape! and
now for the garden!","['That _was_ a narrow escape!', 'and\nnow for the garden!']","[[17178, 17205], [17315, 17338]]","Alice","[]","Explicit","said Alice","[[], []]","[[], []]","[[], []]"
"Q27","and things are worse than
ever, for I never was so small as this
before, never! And I declare it's too bad, that it is!","['and things are worse than\never,', ""for I never was so small as this\nbefore, never! And I declare it's too bad, that it is!""]","[[17502, 17533], [17560, 17647]]","Alice","[]","Anaphoric","thought the poor child","[[], []]","[[], []]","[[], []]"
"Q28","and in that case I can go back by
railway,","['and in that case I can go back by\nrailway,']","[[17823, 17865]]","Alice","['Alice']","Anaphoric","she said to herself","[[]]","[[]]","[[]]"
"Q29","I wish I hadn't cried so much! I shall be punished for it now, I suppose, by
being drowned in my own tears! That _will_ be a queer thing, to be
sure! However, everything is queer to-day.","[""I wish I hadn't cried so much!"", 'I shall be punished for it now, I suppose, by\nbeing drowned in my own tears! That _will_ be a queer thing, to be\nsure! However, everything is queer to-day.']","[[18303, 18333], [18395, 18550]]","Alice","[]","Explicit","said Alice","[[], []]","[[], []]","[[], []]"
"Q30","Would it be of any use, now, to speak to this mouse?
Everything is so out-of-the-way down here, that I should think very
likely it can talk: at any rate, there's no harm in trying.","['Would it be of any use, now,', ""to speak to this mouse?\nEverything is so out-of-the-way down here, that I should think very\nlikely it can talk: at any rate, there's no harm in trying.""]","[[18862, 18890], [18908, 19059]]","Alice","[]","Explicit","thought Alice","[[], ['this mouse']]","[[], [[18920, 18930]]]","[[], [['The Mouse']]]"
"Q31","O Mouse, do you know the way out of this pool? I am very tired
of swimming about here, O Mouse!","['O Mouse, do you know the way out of this pool? I am very tired\nof swimming about here, O Mouse!']","[[19076, 19171]]","Alice","['The Mouse']","Anaphoric","she began","[['Mouse', 'you', 'Mouse']]","[[[19078, 19083], [19088, 19091], [19165, 19170]]]","[[['The Mouse'], ['The Mouse'], ['The Mouse']]]"
"Q32","Perhaps it doesn't understand English, I daresay it's
a French mouse, come over with William the Conqueror.","[""Perhaps it doesn't understand English,"", ""I daresay it's\na French mouse, come over with William the Conqueror.""]","[[19520, 19558], [19576, 19644]]","Alice","[]","Explicit","thought Alice","[[], ['William the Conqueror']]","[[], [[19622, 19643]]]","[[], [['William The Conqueror']]]"
"Q33","O? est ma chatte?","['O? est ma chatte?']","[[19776, 19793]]","Alice","['The Mouse']","Anaphoric","she began","[[]]","[[]]","[[]]"
"Q34","Oh, I beg your pardon! I quite forgot you didn't like
cats.","['Oh, I beg your pardon!', ""I quite forgot you didn't like\ncats.""]","[[19942, 19964], [20041, 20077]]","Alice","['The Mouse']","Explicit","cried Alice","[['your'], ['you']]","[[[19952, 19956]], [[20056, 20059]]]","[[['The Mouse']], [['The Mouse']]]"
"Q35","Not like cats! Would
_you_ like cats if you were me?","['Not like cats!', 'Would\n_you_ like cats if you were me?']","[[20081, 20095], [20146, 20183]]","The Mouse","['Alice']","Explicit","cried the Mouse","[[], ['you', 'you']]","[[], [[20153, 20156], [20171, 20174]]]","[[], [['Alice'], ['Alice']]]"
"Q36","Well, perhaps not, don't be angry
about it. And yet I wish I could show you our cat Dinah: I think you'd
take a fancy to cats if you could only see her. She is such a dear
quiet thing, and she sits purring so nicely by the fire, licking her
paws and washing her face--and she is such a nice soft thing to
nurse--and she's such a capital one for catching mice--oh, I beg your
pardon! We won't talk
about her any more if you'd rather not.","['Well, perhaps not,', ""don't be angry\nabout it. And yet I wish I could show you our cat Dinah: I think you'd\ntake a fancy to cats if you could only see her. She is such a dear\nquiet thing,"", ""and she sits purring so nicely by the fire, licking her\npaws and washing her face--and she is such a nice soft thing to\nnurse--and she's such a capital one for catching mice--oh, I beg your\npardon!"", ""We won't talk\nabout her any more if you'd rather not.""]","[[20187, 20205], [20239, 20404], [20477, 20674], [20793, 20846]]","Alice","['The Mouse']","Explicit","said Alice","[[], ['you', 'our cat Dinah', 'you', 'you', 'her', 'She'], ['she', 'her', 'she', 'she'], ['We', 'her', 'you']]","[[], [[20292, 20295], [20296, 20309], [20319, 20322], [20349, 20352], [20368, 20371], [20373, 20376]], [[20481, 20484], [20550, 20553], [20564, 20567], [20608, 20611]], [[20793, 20795], [20813, 20816], [20829, 20832]]]","[[], [['The Mouse'], ['Dinah'], ['The Mouse'], ['The Mouse'], ['Dinah'], ['Dinah']], [['Dinah'], ['Dinah'], ['Dinah'], ['Dinah']], [['The Mouse', 'Alice'], ['Dinah'], ['The Mouse']]]"
"Q37","We indeed! As if _I_ would talk on such a subject! Our family always
_hated_ cats: nasty, low, vulgar things! Don't let me hear the name
again!","['We indeed!', ""As if _I_ would talk on such a subject! Our family always\n_hated_ cats: nasty, low, vulgar things! Don't let me hear the name\nagain!""]","[[20850, 20860], [20927, 21059]]","The Mouse","['Alice']","Explicit","cried the Mouse","[['We'], []]","[[[20850, 20852]], []]","[[['The Mouse', 'Alice']], []]"
"Q38","I won't indeed! Are you--are you fond--of--of dogs?","[""I won't indeed!"", 'Are you--are you fond--of--of dogs?']","[[21063, 21078], [21149, 21184]]","Alice","['The Mouse']","Explicit","said Alice","[[], ['you', 'you']]","[[], [[21153, 21156], [21162, 21165]]]","[[], [['The Mouse'], ['The Mouse']]]"
"Q39","There is such a nice little dog near
our house I should like to show you! A little bright-eyed terrier, you
know, with oh, such long curly brown hair! And it'll fetch things when
you throw them, and it'll sit up and beg for its dinner, and all sorts
of things--I can't remember half of them--and it belongs to a farmer, you
know, and he says it's so useful, it's worth a hundred pounds! He says
it kills all the rats and--oh dear! I'm afraid I've offended it again!","[""There is such a nice little dog near\nour house I should like to show you! A little bright-eyed terrier, you\nknow, with oh, such long curly brown hair! And it'll fetch things when\nyou throw them, and it'll sit up and beg for its dinner, and all sorts\nof things--I can't remember half of them--and it belongs to a farmer, you\nknow, and he says it's so useful, it's worth a hundred pounds! He says\nit kills all the rats and--oh dear!"", ""I'm afraid I've offended it again!""]","[[21239, 21669], [21705, 21739]]","Alice","['The Mouse']","Explicit","Alice","[['you', 'A little bright-eyed terrier', 'you', 'it', 'it', 'its', 'a farmer', 'you', 'he', 'it', 'He', 'it'], ['it']]","[[[21308, 21311], [21313, 21341], [21343, 21346], [21394, 21396], [21438, 21440], [21463, 21466], [21549, 21557], [21559, 21562], [21573, 21575], [21597, 21599], [21626, 21628], [21634, 21636]], [[21730, 21732]]]","[[['The Mouse'], ['A Little Bright-Eyed Terrier'], ['The Mouse'], ['A Little Bright-Eyed Terrier'], ['A Little Bright-Eyed Terrier'], ['A Little Bright-Eyed Terrier'], ['A Farmer'], ['The Mouse'], ['A Farmer'], ['A Little Bright-Eyed Terrier'], ['A Farmer'], ['A Little Bright-Eyed Terrier']], [['The Mouse']]]"
"Q40","Mouse dear! Do come back again, and we
won't talk about cats or dogs either, if you don't like them!","[""Mouse dear! Do come back again, and we\nwon't talk about cats or dogs either, if you don't like them!""]","[[21892, 21992]]","Alice","['The Mouse']","Anaphoric","she called softly after it","[['Mouse dear', 'dear', 'we', 'you']]","[[[21892, 21902], [21898, 21902], [21928, 21930], [21972, 21975]]]","[[['The Mouse'], ['The Mouse'], ['The Mouse', 'Alice'], ['The Mouse']]]"
"Q41","Let us get to the shore, and then I'll tell you my
history, and you'll understand why it is I hate cats and dogs.","[""Let us get to the shore, and then I'll tell you my\nhistory, and you'll understand why it is I hate cats and dogs.""]","[[22160, 22273]]","The Mouse","['Alice']","Anaphoric","it said","[['us', 'you', 'you']]","[[[22164, 22166], [22204, 22207], [22224, 22227]]]","[[['The Mouse', 'Alice'], ['Alice'], ['Alice']]]"
"Q42","I am
older than you, and must know better;","['I am\nolder than you, and must know better;']","[[23122, 23164]]","The Lory","['The Eaglet', 'Alice', 'The Dodo', 'The Mouse', 'Old Magpie', 'A Canary', 'An Old Crab', 'The Young Crab', 'The Duck']","Explicit","the Lory who at last turned sulky and would only say","[['you']]","[[[23138, 23141]]]","[[['Alice']]]"
"Q43","Sit down, all of you, and listen to me! _I'll_ soon make
you dry enough!","[""Sit down, all of you, and listen to me! _I'll_ soon make\nyou dry enough!""]","[[23396, 23468]]","The Mouse","['The Eaglet', 'Alice', 'The Dodo', 'Old Magpie', 'A Canary', 'An Old Crab', 'The Lory', 'The Young Crab', 'The Duck']","Explicit","the Mouse who seemed to be a person of authority among them called out","[['you', 'you']]","[[[23413, 23416], [23453, 23456]]]","[[['The Eaglet', 'Alice', 'The Dodo', 'The Lory', 'The Duck'], ['The Eaglet', 'Alice', 'The Dodo', 'The Lory', 'The Duck']]]"
"Q44","Ahem! are you all ready? This
is the driest thing I know. Silence all round, if you please! 'William
the Conqueror, whose cause was favoured by the pope, was soon submitted
to by the English, who wanted leaders, and had been of late much
accustomed to usurpation and conquest. Edwin and Morcar, the earls of
Mercia and Northumbria--'","['Ahem!', ""are you all ready? This\nis the driest thing I know. Silence all round, if you please! 'William\nthe Conqueror, whose cause was favoured by the pope, was soon submitted\nto by the English, who wanted leaders, and had been of late much\naccustomed to usurpation and conquest. Edwin and Morcar, the earls of\nMercia and Northumbria--'""]","[[23668, 23673], [23714, 24041]]","The Mouse","['The Eaglet', 'Alice', 'The Dodo', 'Old Magpie', 'A Canary', 'An Old Crab', 'The Lory', 'The Young Crab', 'The Duck']","Explicit","said the Mouse","[[], ['you all', 'you', 'William\nthe Conqueror', 'the pope', 'Edwin', 'Morcar']]","[[], [[23718, 23725], [23788, 23791], [23801, 23822], [23852, 23860], [23985, 23990], [23995, 24001]]]","[[], [['The Eaglet', 'Alice', 'The Dodo', 'The Lory', 'The Duck'], ['The Eaglet', 'Alice', 'The Dodo', 'The Lory', 'The Duck'], ['William The Conqueror'], ['The Pope'], ['Edwin'], ['Morcar']]]"
"Q45","Ugh!","['Ugh!']","[[24045, 24049]]","The Lory","['The Eaglet', 'Alice', 'The Dodo', 'The Mouse', 'Old Magpie', 'A Canary', 'An Old Crab', 'The Young Crab', 'The Duck']","Explicit","said the Lory","[[]]","[[]]","[[]]"
"Q46","I beg your pardon! Did
you speak?","['I beg your pardon!', 'Did\nyou speak?']","[[24083, 24101], [24149, 24163]]","The Mouse","['The Eaglet', 'Alice', 'The Dodo', 'Old Magpie', 'A Canary', 'An Old Crab', 'The Lory', 'The Young Crab', 'The Duck']","Explicit","said the Mouse","[['your'], ['you']]","[[[24089, 24093]], [[24153, 24156]]]","[[['The Lory']], [['The Lory']]]"
"Q47","Not I!","['Not I!']","[[24167, 24173]]","The Lory","['The Eaglet', 'Alice', 'The Dodo', 'The Mouse', 'Old Magpie', 'A Canary', 'An Old Crab', 'The Young Crab', 'The Duck']","Explicit","said the Lory","[[]]","[[]]","[[]]"
"Q48","I thought you did, --I proceed. 'Edwin and Morcar,
the earls of Mercia and Northumbria, declared for him: and even
Stigand, the patriotic archbishop of Canterbury, found it advisable--'","['I thought you did,', ""--I proceed. 'Edwin and Morcar,\nthe earls of Mercia and Northumbria, declared for him: and even\nStigand, the patriotic archbishop of Canterbury, found it advisable--'""]","[[24200, 24218], [24237, 24403]]","The Mouse","['The Eaglet', 'Alice', 'The Dodo', 'Old Magpie', 'A Canary', 'An Old Crab', 'The Lory', 'The Young Crab', 'The Duck']","Explicit","said the Mouse","[['you'], ['Edwin ', 'Morcar', 'him', 'Stigand', 'the patriotic archbishop of Canterbury']]","[[[24210, 24213]], [[24251, 24257], [24261, 24267], [24319, 24322], [24333, 24340], [24342, 24380]]]","[[['The Lory']], [['Edwin'], ['Morcar'], ['William The Conqueror'], ['Stigand'], ['Stigand']]]"
"Q49","Found _what_?","['Found _what_?']","[[24407, 24420]]","The Duck","['The Eaglet', 'Alice', 'The Dodo', 'The Mouse', 'Old Magpie', 'A Canary', 'An Old Crab', 'The Lory', 'The Young Crab']","Explicit","said the","[[]]","[[]]","[[]]"
"Q50","Found _it_, of course you know
what 'it' means.","['Found _it_,', ""of course you know\nwhat 'it' means.""]","[[24439, 24450], [24487, 24522]]","The Mouse","['The Eaglet', 'Alice', 'The Dodo', 'Old Magpie', 'A Canary', 'An Old Crab', 'The Lory', 'The Young Crab', 'The Duck']","Explicit","the Mouse replied","[[], ['you']]","[[], [[24497, 24500]]]","[[], [['The Duck']]]"
"Q51","I know what 'it' means well enough, when _I_ find a thing, it's generally a frog or a worm. The question is, what did the
archbishop find?","[""I know what 'it' means well enough, when _I_ find a thing,"", ""it's generally a frog or a worm. The question is, what did the\narchbishop find?""]","[[24526, 24584], [24602, 24681]]","The Duck","['The Eaglet', 'Alice', 'The Dodo', 'The Mouse', 'Old Magpie', 'A Canary', 'An Old Crab', 'The Lory', 'The Young Crab']","Explicit","said the Duck","[[], ['the\narchbishop']]","[[], [[24661, 24675]]]","[[], [['Stigand']]]"
"Q52","'--found
it advisable to go with Edgar Atheling to meet William and offer him
the crown. William's conduct at first was moderate. But the insolence
of his Normans--' How are you getting on now, my dear?","[""'--found\nit advisable to go with Edgar Atheling to meet William and offer him\nthe crown. William's conduct at first was moderate. But the insolence\nof his Normans--' How are you getting on now, my dear?""]","[[24748, 24950]]","The Mouse","['The Eaglet', 'Alice', 'The Dodo', 'Old Magpie', 'A Canary', 'An Old Crab', 'The Lory', 'The Young Crab', 'The Duck']","Explicit","The Mouse did not notice this question but hurriedly went on","[['Edgar Atheling', 'William', 'William', 'his', 'you', 'my dear']]","[[[24781, 24795], [24804, 24811], [24837, 24844], [24899, 24902], [24922, 24925], [24942, 24949]]]","[[['Edgar Atheling'], ['William The Conqueror'], ['William The Conqueror'], ['William The Conqueror'], ['Alice'], ['Alice']]]"
"Q53","As wet as ever, it doesn't seem to
dry me at all.","['As wet as ever,', ""it doesn't seem to\ndry me at all.""]","[[24998, 25013], [25049, 25082]]","Alice","['The Eaglet', 'The Dodo', 'The Mouse', 'Old Magpie', 'A Canary', 'An Old Crab', 'The Lory', 'The Young Crab', 'The Duck']","Explicit","said Alice","[[], []]","[[], []]","[[], []]"
"Q54","In that case, I move
that the meeting adjourn, for the immediate adoption of more energetic
remedies--","['In that case,', 'I move\nthat the meeting adjourn, for the immediate adoption of more energetic\nremedies--']","[[25086, 25099], [25146, 25234]]","The Dodo","['The Eaglet', 'Alice', 'The Mouse', 'Old Magpie', 'A Canary', 'An Old Crab', 'The Lory', 'The Young Crab', 'The Duck']","Explicit","said the Dodo","[[], []]","[[], []]","[[], []]"
"Q55","Speak English! I don't know the meaning of half
those long words, and, what's more, I don't believe you do either!","['Speak English!', ""I don't know the meaning of half\nthose long words, and, what's more, I don't believe you do either!""]","[[25238, 25252], [25272, 25371]]","The Eaglet","['Alice', 'The Mouse', 'The Dodo', 'Old Magpie', 'A Canary', 'An Old Crab', 'The Lory', 'The Young Crab', 'The Duck']","Explicit","said the Eaglet","[[], []]","[[], []]","[[], []]"
